X,Y,Horizon,Image Azimuth,True Azimuth
211,286,21.8762,172.37867,257.37867
205,315,17.77513,180.60617,265.60617
225,374,16.11518,198.49579,283.49579
275,464,5.16253,224.95098,309.95097999999996
317,498,0.35508,237.67212,322.67212
418,502,3.61473,261.97932,346.97932
487,487,2.91856,279.19178,4.191779999999994
537,463,1.6718,292.52754,17.527539999999988
622,402,90.0,316.07498,41.07497999999998
651,332,90.0,332.70879,57.70879000000002
336,268,110.39773,346.85113,71.85113000000001
348,280,106.40256,0.61192,85.61192
359,286,103.22268,12.19731,97.19731
370,295,101.76026,31.85113,116.85113
380,295,99.38449,44.6554,129.6554
387,297,98.91889,57.82553,142.82553000000001
398,300,99.42593,78.64104,163.64104
406,300,99.88986,92.55977,177.55977000000001
411,300,100.52827,100.48051,185.48050999999998
