X,Y,Horizon,Image Azimuth,True Azimuth
161,270,3.17798,147.55768,162.55768
182,239,10.38237,139.39023,154.39023
201,209,15.01434,130.31927,145.31927
241,194,27.109,121.69439,136.69439
273,188,36.5802,114.2436,129.24360000000001
310,182,46.09945,102.40332,117.40332
348,173,51.92079,84.35634,99.35634
392,164,52.96591,59.82462,74.82462000000001
438,156,47.25448,36.9659,51.9659
471,159,42.54875,22.89959,37.89959
507,178,38.63279,6.36154,21.361539999999998
550,194,28.13041,352.88334,7.883339999999976
584,212,18.59629,343.74327,358.74327
621,225,6.17121,337.93869,352.93869
633,261,3.14195,328.77109,343.77109
630,302,3.38244,318.76998,333.76998
628,332,1.7817,311.58641,326.58641
604,380,3.42419,298.65597,313.65597
595,400,2.43782,293.38207,308.38207
550,440,5.37285,278.72635,293.72635
512,465,6.16375,267.34665,282.34665
466,490,4.5134,254.33795,269.33795
415,499,4.80656,241.52774,256.52774
363,499,4.13049,228.69911,243.69911
301,487,2.00278,213.4016,228.4016
261,472,0.0,203.38207,218.38207
220,441,0.0,191.41736,206.41736
204,410,1.8164,183.41596,198.41596
173,360,0.8535,169.40079,184.40079
165,320,2.51728,159.7055,174.7055
