X,Y,Horizon,Image Azimuth,True Azimuth
283,465,6.40174,183.69647,238.69647
236,431,5.83176,169.10726,224.10726
194,390,2.89288,154.75883,209.75883
170,331,3.37159,139.26468,194.26468
170,264,6.61906,122.74408,177.74408
178,209,6.7053,108.67572,163.67572
195,152,4.37588,93.88667,148.88666999999998
231,106,4.75194,79.45228,134.45228
279,66,3.9949,64.04528,119.04528
335,40,3.10577,48.96617,103.96617
395,30,2.44862,34.23505,89.23505
454,37,2.47897,19.89256,74.89256
516,61,2.16002,3.85989,58.85989
565,96,1.52703,349.42763,44.42763000000002
606,147,1.12161,333.82217,28.82217000000003
631,206,0.90307,318.59353,13.593529999999987
640,267,0.55042,303.98937,358.98937
629,331,1.53888,288.56118,343.56118
606,389,1.12161,273.68501,328.68501
567,437,1.80174,258.9226,313.9226
514,470,4.186,243.83335,298.83335
456,491,5.23664,228.57301,283.57301
397,495,6.63245,213.75359,268.75359000000003
338,483,8.17203,198.40831,253.40831
